"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"enabler","1","0x7a5e7e","0x1","int8_t","enabler.mouse_lbut_lift","",""
"enabler","1","0x7a5e7f","0x1","int8_t","enabler.mouse_rbut_lift","",""
"enabler","1","0x7a5e80","0x10","stl-vector","enabler.file_info","padding",""
"enabler","1","0x7a5e90","0xc0","static-array","enabler.ccolor","enabler::anon2",""
"enabler","1","0x7a5f50","0x4","int32_t","enabler.window_x","",""
"enabler","1","0x7a5f54","0x4","int32_t","enabler.window_y","",""
"enabler","1","0x7a5f58","0x10","stl-vector","enabler.overlays","enabler::anon3*","used for mouse picture"
"enabler","1","0x7a5f68","0x4","int32_t","enabler","",""
"enabler","1","0x7a5f6c","0x4","int32_t","enabler","",""
"enabler","1","0x7a5f70","0x320","static-array","enabler.input_queue","enabler::anon4",""
"enabler","3","0x7a5f70","0x4","int32_t","enabler.input_queue[0].vKey","",""
"enabler","3","0x7a5f74","0x1","int8_t","enabler.input_queue[0].shift","",""
"enabler","3","0x7a5f75","0x1","int8_t","enabler.input_queue[0].capslock","",""
"enabler","3","0x7a5f78","0x4","int32_t","enabler.input_queue[1].vKey","",""
"enabler","3","0x7a5f7c","0x1","int8_t","enabler.input_queue[1].shift","",""
"enabler","3","0x7a5f7d","0x1","int8_t","enabler.input_queue[1].capslock","",""
"enabler","3","0x7a5f80","0x4","int32_t","enabler.input_queue[2].vKey","",""
"enabler","3","0x7a5f84","0x1","int8_t","enabler.input_queue[2].shift","",""
"enabler","3","0x7a5f85","0x1","int8_t","enabler.input_queue[2].capslock","",""
"enabler","3","0x7a5f88","0x4","int32_t","enabler.input_queue[3].vKey","",""
"enabler","3","0x7a5f8c","0x1","int8_t","enabler.input_queue[3].shift","",""
"enabler","3","0x7a5f8d","0x1","int8_t","enabler.input_queue[3].capslock","",""
"enabler","3","0x7a5f90","0x4","int32_t","enabler.input_queue[4].vKey","",""
"enabler","3","0x7a5f94","0x1","int8_t","enabler.input_queue[4].shift","",""
"enabler","3","0x7a5f95","0x1","int8_t","enabler.input_queue[4].capslock","",""
